city_state,white_2015,white_2000,black_2015,hispanic_2015,female_2015,asian_2015
abbeville la,45.3,53.5,43.7,1.4,51.6,6.3
aberdeen nc,63.9,71.41,20.4,5.1,52.4,4.8
aberdeen sd,88.3,94.12,1.4,2.5,51.8,2.5
aberdeen wa,71.6,82.19,0.8,18.8,51.8,1.3
abilene ks,93.7,93.98,0.7,4.1,50.2,0
abilene tx,59.8,68.76,9.9,26,48.3,1.9
ada ok,63.3,72.52,4.2,6,52.3,1.3
adrian mi,75.4,76.86,3.3,17.4,50.4,0.4
aiken sc,64.7,65.88,29.1,2.8,54.2,2
akron oh,60.1,66.67,30.2,2.1,51.7,3.1
alameda ca,43.5,52.48,6.9,11.8,51.5,30.8
alamogordo nm,55.3,57.81,5.4,33.9,50.8,1.7
alamosa co,45.4,48.15,2.5,48.3,52.5,1.1
albany ga,23.9,32.74,70.8,2.5,54.2,0.8
albany ny,51.2,61.11,28.3,9.6,52.7,7
albany or,81.8,89.01,0.8,11.7,50.3,2
albert lea mn,82.1,88.46,1.8,13,52.6,1.5
albion mi,59.6,58.68,32.3,4.4,52.4,0.5
albuquerque nm,40.9,49.91,2.9,47.7,51.4,2.5
alexander city al,55.1,70.32,38.6,5.1,53.8,0.1
alexandria la,35.9,42.05,58.2,1.3,52.2,3
alice tx,14,20.12,0.3,83.6,50.9,0.8
allentown pa,37.6,64.35,10.8,47.1,51.5,1.9
alliance ne,78.9,85.52,0.2,14,49.1,0.4
alliance oh,82.5,84.85,10.1,3.1,50.6,0.5
alpena mi,95.1,97.25,0.7,1.3,52.7,1
alton il,67.9,71.57,24.3,2.4,52.8,0.5
altoona pa,92.8,95.6,3,1.4,50.3,0.3
altus ok,59.2,67.43,9.5,25.6,50.9,1.4
alva ok,85.9,93.66,2.5,5.1,47.2,0.8
amarillo tx,57,68.43,6.1,30.7,51,3.5
americus ga,32.2,38.04,60.7,3.8,55.8,0.5
ames ia,81.8,86.26,3.1,3,47.4,9.2
amsterdam ny,65.1,80.62,2.5,28.9,51.5,0.5
anadarko ok,30.5,39.73,5.2,14.2,51.2,0.6
anchorage ak,60.3,69.92,5.5,8.6,48.8,8.7
andalusia al,64.5,73.4,31.4,2.3,51.3,0.8
anderson in,76.8,80.93,14.6,5,52,0.7
anderson sc,58.5,62.46,34.6,3.8,54.2,1.2
angleton tx,51.6,63.17,13.8,31.5,52.3,0.6
angola in,91.2,92.16,0.7,4.6,50.5,0.2
ann arbor mi,68.9,72.77,7.3,4.4,50.1,15.4
annapolis md,54.4,58.98,23.9,18.8,51.4,1.3
anniston al,43.8,47.91,49.8,1.6,53.7,1.7
antigo wi,92.9,96.43,1.7,2.6,51.9,0
antioch ca,31.8,55.94,18.3,33.7,51,9.9
appleton wi,83.2,90.24,2,5.8,50.9,6.1
ardmore ok,62.7,71.64,11.2,9.3,51.8,1.4
arkadelphia ar,64.3,67.99,28.4,5,54.8,1
arkansas city ks,72.3,85.29,2.9,19.2,51.7,0.8
arlington heights il,83.1,87.61,1.3,5.6,51.6,8.7
arlington tx,42.1,59.64,19.8,28.6,50.7,7.2
