"city_state","white_2015","white_2000"
"berlin nh",89.8,97.81240925
"beverly ma",91.9,94.77948924
"biddeford me",92.2,96.20380097
"big rapids mi",84.7,82.39469075
"big spring tx",44.6,48.38901439
"billings mt",86.2,89.8972698
"biloxi ms",61,69.68643867
"binghamton ny",72.8,81.71591389
"birmingham al",22,23.51371386
"bismarck nd",90,94.33659872
"blackfoot id",74.5,81.9656397
"blackwell ok",76.3,85.22430882
"bloomington il",73.1,83.34001975
"bloomington in",78.7,85.72253251
"bloomsburg pa",87.4,93.6
"blue springs mo",83.5,91.6077371
"bluefield wv",71.7,75.4955899
"bluffton in",94.2,96.16191275
"bluffton sc",66.4,60.47058824
"blytheville ar",38.4,44.60923818
"boca raton fl",77,84.16483869
"bogalusa la",42.3,56.73026562
"boise id",83.6,89.89972388
"bonham tx",66.5,72.12212212
"boone ia",94.3,97.96141529
"boone nc",90.2,92.91864608
"boonville mo",82,79.55376737
"borger tx",62.2,73.82883513
"bossier city la",61.2,69.38771896
"boston ma",45.5,49.48917152
"boulder co",82.4,84.2066904
"bowling green ky",72.1,79.13420967
"bowling green oh",84.6,90.56215414
"bozeman mt",90.1,93.84928569
"bradenton fl",61.4,71.61037492
"bradford pa",97.4,97.08991826
"brainerd mn",92.1,95.3634846
"branson mo",87.1,92.04958678
"brattleboro vt",90.8,92.1341537
"brazil in",93.2,97.43527113
"bremerton wa",70.7,72.33151722
"brenham tx",59.1,65.46235285
"brentwood tn",85.3,93.7342717
"bridgeport ct",21.3,30.93120427
"bridgeton nj",14.6,31.21953362
"bristol ct",80,89.25776697
"bristol va",88.7,91.92146024
"brockton ma",41,58.21810316
"brookhaven ms",41.5,47.07433323
"brookings sd",90.2,95.10376135
"brooksville fl",71.7,73.22411894
"brownsville tx",5.1,7.74824294
"brownwood tx",63.5,71.25923563
"brunswick ga",25.6,33.08974359
"brunswick me",92.3,94.4924406
"bryan oh",93.6,94.15576623
"bryan tx",41.1,51.69509595
"bucyrus oh",95.9,96.74833636
"buffalo ny",44.9,51.75159236
"bullhead city az",73.9,75.40643786
"burien wa",51.2,71.51281327
"burley id",64.9,70.72778016
"burlington ia",85.4,90.64421178
"burlington nc",50.4,61.95427121
"burlington vt",84,91.46545296
"butler pa",91.5,94.69611798
"butte mt",91.7,93.68877611
"cadillac mi",93,95.93
"cambridge md",44.5,47.35587939
"cambridge oh",92,92.28298611
"camden ar",38.3,48.69241295
"canandaigua ny",94.9,95.39240057
"canon city co",87.1,87.03259672
"canton ga",61.3,68.78972629
"canton il",86.7,88.01674516
"canton oh",66.8,73.82248843
"cape coral fl",74.4,87.53397337
"cape girardeau mo",78.9,86.70683753
"carbondale il",58.4,64.71640636
"carlisle pa",80.1,87.89649416
"carlsbad nm",49.3,58.8097561
"carmi il",96.6,97.71302103
"carroll ia",94,98.34751633
"carrollton ga",53.7,60.56543869
"carson city nv",68.8,78.54814419
"cartersville ga",67.3,73.83359498
"carthage mo",64.1,81.70982002
"casa grande az",50.5,50.37662544
"casper wy",86.3,91.31818548
"cedar rapids ia",84.9,90.89170076
"celina oh",93.2,95.86528196
"centerville ia",94.1,96.40445645
"centralia il",82.9,85.79513299
"centralia wa",74.9,85.31406865
"chambersburg pa",68.9,83.71962826
"champaign il",63,71.34097574
"chanute ks",88.6,91.21241101
"charles city ia",89.4,95.90373784
"charleston sc",70.5,62.27315054
"charleston wv",81,80.13702477
"charlotte nc",43.5,55.07203769
"charlottesville va",66.4,68.42549224
"chattanooga tn",56.6,58.8747316
"cherokee ia",91.8,96.57291861
"cherry hill nj",62.8,81.50022662
"chesterton in",83.7,93.73569794
"cheyenne wy",77.1,81.39065477
"chicago il",32.2,31.32461975
"chickasha ok",77.1,79.74763407
"chico ca",72.9,77.15581946
"chillicothe mo",91.8,93.3764496
"chillicothe oh",84.8,88.7456414
"chippewa falls wi",94.9,97.32301741
"cincinnati oh",49.3,52.45664609
"circleville oh",93,94.83129403
"clanton al",70,76.28205128
"claremont nh",97.1,97.31579348
"claremore ok",66.3,74.25187425
"clarksburg wv",92.6,93.07770412
"clarksdale ms",19.4,29.71663841
"clarksville tn",59.6,65.30568846
"clearfield pa",96.4,98.14507616
"cleburne tx",64.8,73.90886368
"cleveland ms",46.5,49.54844303
"cleveland oh",34.1,38.80431352
"cleveland tn",77.1,87.68283502
"clinton ia",88.3,92.86691632
"clinton il",93.1,95.87174349
"clinton ma",75,84.85540335
"clinton mo",93.5,95.02738696
"clinton nc",45.9,51.80232558
"clinton ok",53,65.61757047
"clovis nm",47.8,55.64024857
"clute tx",33.7,42.35418266
"coeur d'alene id",90.4,94.05748392
"coffeyville ks",74,74.50322112
"colby ks",91.2,95.79816514
"coldwater mi",88.7,82.80696227
"collinsville il",83.1,90.15258834
"colorado springs co",69.4,75.29551941
"columbia city in",91.8,97.25872545
"columbia mo",76.3,80.42493286
"columbia sc",48.1,48.15442302
"columbia tn",69.5,72.75450008
"columbus ga",42.4,48.55178947
"columbus in",81.8,90.02022581
"columbus ms",35.7,43.26241135
"columbus ne",77.1,91.59792094
"columbus oh",58.1,66.88925745
"concord nc",63.5,75.00401951
"concord nh",90.3,94.58549414
"concordia ks",91,97.49737487
"connellsville pa",91.1,94.20511699
"connersville in",94.3,95.64596717
"conroe tx",51.6,54.49458042
"conway ar",74.6,82.97310445
"conyers ga",21.9,51.79156142
"cookeville tn",85,89.61668687
"coos bay or",82.6,88.4155067
"coral gables fl",37.5,47.73604109
"corbin ky",93.7,97.72668561
"cordele ga",28,31.56443832
"corinth ms",67.5,75.5372136
"corning ny",89.3,93.37760561
"corpus christi tx",31.5,38.52926972
"corry pa",94.1,97.77582675
"corsicana tx",45.3,51.81539718
"cortland ny",91.1,94.64781217
"corvallis or",78.7,83.31576173
"coshocton oh",94.2,95.75415169
"costa mesa ca",50.7,56.8209411
"council bluffs ia",86,92.50875266
"covington ga",44.6,50.01299039
"covington ky",80.1,86.26008762
"covington va",81.5,83.62684436
"craig co",79,86.59266514
"crawfordsville in",88.1,93.21655842
"crescent city ca",48.3,73.56465302
"creston ia",93.8,97.38054495
"crookston mn",82.5,87.84179688
"crowley la",59.2,67.16344464
"crystal lake il",82.6,89.65
"cullman al",89.8,92.98320829
"culpeper va",58.8,68.54304636
"cumberland md",87.9,92.17864114
"cushing ok",76.5,78.40162466
"dalhart tx",56.6,74.11911013
"dallas tx",29.4,34.56031567
"dalton ga",40.3,49.68114073
"danbury ct",54.5,68.06461094
"danville il",57.3,68.25153374
"danville ky",80.8,82.9230471
"danville va",45.1,53.32052633
"davenport ia",75.6,81.30623532
"davis ca",55.7,65.85195994
"dayton oh",51.6,52.64624291
"daytona beach fl",53,60.25393062
"de kalb il",66.5,75.55230919
"de queen ar",30.2,52.40242845
"decatur al",62.2,72.55465519
"decatur ga",68.6,64.65531493
"decatur il",70.6,76.95211336
"decatur in",86.7,91.04743913
"dedham ma",80.2,93.21939993
"defiance oh",80.4,82.33829335
"dekalb il",66.5,75.55230919
"del rio tx",13.8,16.67700121
"delaware oh",89.8,92.1800103
"delphos oh",96.2,98.0702765
"deming nm",25.8,32.43128365
"denison ia",48.9,79.52037062
"denison tx",77.8,81.68445088
"denton tx",59.9,69.0179669
"denver co",53.1,51.92540693
"derby ks",86.4,92.35693828
"deridder la",51.9,59.75734095
"des moines ia",68.2,79.57187868
"detroit mi",9.1,10.50395787
"devils lake nd",80.4,88.9781224
"dexter mo",96.7,96.71016857
"dickinson nd",89.2,96.48969394
"dixon il",79.5,83.3699266
"dodge city ks",34.5,51.53320623
"dothan al",61.2,66.69553319
"douglas az",21.8,12.09474567
"douglasville ga",30.5,61.92374782
"dover de",43,53.28458068
"dover nh",89.2,93.79928582
"dowagiac mi",58.9,75.97201887
"doylestown pa",91.3,95.22304607
"dublin ga",35.5,45.04635177
"dubois pa",92.5,97.7717592
"dubuque ia",89.4,95.40443088
"duluth mn",89.2,92.09024598
"duncan ok",77.6,83.32370584
"dundalk md",77.1,88.75068212
"dunkirk ny",67.1,73.94714797
"dunn nc",47.5,53.80600261
"duquoin il",85.4,89.53163772
"durango co",79.5,81.66211751
"durant ok",69.6,77.47435235
"durham nc",38.3,42.3861844
"dyersburg tn",68.6,74.98854
"east liverpool oh",90.1,92.35999694
"easton md",69.5,70.41339255
"easton pa",53.9,73.49503103
"eau claire wi",89.6,92.87566446
"eden nc",62.6,74.29595172
"edgewood ky",97.5,96.77659574
"edinburg tx",7.7,9.846280821
"edmond ok",77.7,85.05306302
"edmonds wa",78.3,86.07364292
"edwardsville il",82.3,87.10623052
"effingham il",94.3,97.29489664
"el cajon ca",56.2,64.49735952
"el centro ca",11.1,18.07056958
"el dorado ar",44.3,53.13980492
"el dorado ks",89.7,92.79256863
"el paso tx",14.5,18.34822997
"elizabeth city nc",37.6,39.63811962
"elizabethton tn",90.9,94.70535447
"elizabethtown ky",75.7,84.99689469
"elk city ok",77.5,86.09895338
"elkhart in",58.4,66.80610711
"elkins wv",92.2,96.5301479
"elko nv",62.8,73.30620062
"elkton md",71.9,84.20079038
"ellensburg wa",79.4,85.13688854
"ellwood city pa",95.7,97.83609576
"elmira ny",74.9,80.80801551
"elwood in",94.8,97.47355448
"elyria oh",73.8,79.9724769
"emporia ks",64.9,71.12107623
"enid ok",75,85.25666915
"ennis tx",45.9,51.06263634
"enterprise al",65.8,69.37387855
"erie pa",70.9,78.68044776
"escanaba mi",92.1,95.2891933
"escondido ca",40,51.89092461
"estherville ia",83.3,92.578125
"eugene or",79.7,85.9818845
"eureka ca",72.7,78.64360073
"evansville in",80.7,85.59326216
"everett wa",65.5,77.90748513
"fairbanks ak",56.5,64.20725251
"fairfield ca",33.2,48.96545988
"fairfield ia",76,92.52287307
"fairmont mn",91.6,95.16943705
"fairmont wv",88.3,89.49049589
"fall river ma",80.2,89.48856838
"fallon nv",72.4,76.47292994
"fargo nd",86.9,93.44474001
"faribault mn",75,84.96973773
"farmington nm",49.8,62.83690942
"fayetteville ar",78.8,84.0164005
"fayetteville nc",39.9,46.6214932
"fergus falls mn",94.2,96.40709673
"findlay oh",85.8,91.77765802
"fitchburg ma",65.8,75.22377372
"flagstaff az",63.1,69.49748554
"flint mi",37.1,40.03425562
"florence al",74.8,77.71894992
"florence sc",50.1,52.71092304
"fond du lac wi",86.3,92.18775916
"forest city nc",59,65.37289707
"forrest city ar",26.7,29.57899012
"fort atkinson wi",83.4,93.8301351
"fort collins co",81.3,85.44651586
"fort dodge ia",85.8,91.12030554
"fort lauderdale fl",49.3,57.46635432
"fort madison ia",86.7,89.86467569
"fort morgan co",48.3,58.70944354
"fort myers fl",47.9,49.16196482
"fort payne al",66.9,80.80847117
"fort pierce fl",41.5,41.35835377
"fort scott ks",89.6,90.55080149
"fort smith ar",62.1,74.04694274
"fort walton beach fl",74,76.47323887
"fort wayne in",68.9,73.09103812
"fort worth tx",40.7,45.81424142
"fostoria oh",80.4,83.84896992
"framingham ma",66.3,75.16514721
"frankfort in",70.8,85.19385428
"frankfort ky",73.6,81.12541004
"franklin in",92.3,95.97698197
"franklin la",35.8,47.09121379
"franklin pa",94.6,90.27149321
"frederick md",54.9,74.98626035
"fredericksburg va",59.8,71.36780953
"freeport il",73.6,80.92500851
"fremont ca",23.8,41.36854577
"fremont ne",83.3,93.62834671
"fremont oh",70,77.16258993
"fresno ca",28.1,37.29036693
"fulton mo",81.7,80.64808707
"gadsden al",55,61.61424393
"gainesville fl",56.7,64.07325531
"gainesville ga",37.7,47.76761279
"gainesville tx",62.4,73.6838718
"galesburg il",76.1,82.14561206
"galion oh",96.2,97.61925756
"gallup nm",23.8,26.89890643
"galveston tx",45.3,44.15427883
"garden city ks",40.1,49.80141296
"gardner ma",85.5,90.9099663
"gary in",10.7,10.06170557
"gastonia nc",57.5,67.3159618
"geneva il",92,94.47091981
"geneva ny",70.2,78.29918484
"gettysburg pa",75.8,82.88384513
"gillette wy",85.4,93.4032373
"gilroy ca",29.9,38.02575728
"glasgow ky",84.7,88.27866964
"glendale ca",61.7,54.15980674
"glens falls ny",90.8,95.69457991
"glenwood springs co",71.1,83.75129266
"gloucester ma",94.5,96.18141578
"gloversville ny",90,94.44624667
"goldsboro nc",35.9,41.86665984
"goshen in",61.4,76.65997345
"grand forks nd",85.7,92.32172908
"grand haven mi",97.6,95.39756447
"grand island ne",65.8,81.4159292
"grand junction co",79.6,85.86433573
"grand rapids mi",59,62.45551062
"grants pass or",85.1,90.14911099
"grass valley ca",82.7,88.15235305
"great bend ks",74.5,83.65591398
"great falls mt",85.1,88.71405892
"greeley co",57.3,66.81918627
"green bay wi",72.1,83.20936733
"greencastle in",90.7,93.2388664
"greenfield in",93.6,97.3630137
"greensboro nc",44.4,53.64753384
"greensburg in",93.5,97.12475634
"greenville mi",94.6,94.56836799
"greenville ms",19.5,28.73441741
"greenville nc",52.8,60.61908856
"greenville oh",94.7,96.68271401
"greenville pa",96.1,96.0815047
"greenville sc",62.4,60.56390843
"greenville tx",58.6,64.26126878
"greenwich ct",70.4,NULL
"greenwood ms",29.1,32.60786974
"greenwood sc",43,46.79443614
"grenada ms",42.1,49.04899523
"griffin ga",40.9,46.18139951
"grove ok",83.4,81.71896317
"guthrie ok",69,74.48866499
"guymon ok",37.8,57.973644
"hackensack nj",30.5,39.86456405
"hagerstown md",68.7,85.16368196
"hamilton oh",82.4,87.96506838
"hammond la",46.6,51.60723397
"hanford ca",40.2,49.88245454
"hannibal mo",86.9,89.98141578
"hanover pa",86.5,95.71379429
"harlingen tx",17.8,25.03300674
"harrisburg il",87.9,89.93914807
"harrisburg pa",25.2,28.57609806
"harrison ar",91,96.39565504
"harrisonburg va",69,80.10279727
"hartford city in",95.9,98.00808314
"hartford ct",15.4,17.82970603
"hastings ne",85.6,90.55019947
"hattiesburg ms",40.6,49.26416401
"haverhill ma",75.9,86.33688887
"havre mt",85.5,86.55025465
"hays ks",89.9,94.36366362
"hayward ca",17.4,29.20517032
"hazleton pa",45.2,93.19302156
"helena ar",22.8,30.38114819
"helena mt",91,93.83630721
"hemet ca",46,70.30027885
"henderson ky",81.7,86.66569247
"henderson nc",25.9,34.55731594
"henderson nv",68,78.21485794
"henderson tx",52.8,64.71214406
"hendersonville nc",70.3,76.36276392
"henryetta ok",68.9,78.90419948
"hereford tx",21.9,36.15811468
"herkimer ny",92,95.37209923
"hernando ms",83.5,74.19260129
"hibbing mn",94.2,96.89531955
"hickory nc",68.1,73.19595938
"high point nc",47.8,58.45361665
"hillsboro oh",87.9,90.15389447
"hillsdale mi",92.6,95.57876837
"hilo hi",15.6,15.92531711
"hilton head island sc",76.5,79.00301223
"hobbs nm",35.8,48.94790104
"holdenville ok",58.9,74.11242604
"holland mi",65.3,70.02682036
"hollister ca",25.9,38.49126783
"hope ar",31.7,41.75772419
"hopewell va",51.1,61.08526438
"hopkinsville ky",61.4,65.25972947
"hornell ny",93,94.88856858
"hot springs ar",69,76.4951049
"houghton mi",82,88.7446505
"houma la",62.1,66.58537338
"houston tx",25.5,30.80679002
"howell mi",91.4,94.69237435
"hudson ny",55.9,61.74906964
"hugo ok",54.4,58.76083815
"huntingdon pa",94.4,95.93813241
"huntington in",93.1,97.13467049
"huntington wv",85.5,89.10733366
"huntsville al",58.8,63.41520453
"huntsville tx",50.7,55.25970694
"huron sd",75.5,95.28293954
"hutchinson ks",80.4,85.3629833
"idaho falls id",82.9,89.355411
"independence ks",72.6,84.94820232
"independence mo",78.9,90.07132265
"indiana pa",88.3,90.80899631
"indianapolis in",57.2,67.48884086
"international falls mn",93.7,94.80829479
"iola ks",88.4,92.85940971
"ionia mi",72.3,69.33484719
"iowa city ia",77.2,85.83252973
"iron mountain mi",95.4,97.00760363
"ironton oh",89.9,93.07822674
"ironwood mi",96.8,96.82186556
"ithaca ny",64.9,71.33881927
"jackson mi",66.9,72.15552374
"jackson ms",17.4,27.50466742
"jackson tn",46.8,54.18406183
"jacksonville ar",53.5,67.20149753
"jacksonville fl",53.7,62.18969926
"jacksonville il",82.4,89.59345301
"jacksonville nc",57.2,60.83039796
"jacksonville tx",37.9,53.5333141
"jamestown nd",92,96.11000193
"jamestown ny",82.3,88.98518752
"janesville wi",87.9,93.85189418
"jasper al",76.1,83.53970965
"jasper in",92.3,95.50413223
"jefferson city mo",73.8,80.72711676
"jeffersonville in",76.4,81.50354506
"jennings la",71.1,69.87074458
"jersey city nj",21.5,23.63458374
"johnson city tn",84.3,88.97582433
"johnstown pa",77.3,85.40533757
"joliet il",50.9,61.01524181
"jonesboro ar",71.5,84.23669279
"joplin mo",85.3,90.22943038
"junction city ks",55.1,55.82442021
"juneau ak",66,73.25713914
"kalamazoo mi",64.7,69.46529263
"kalispell mt",93.3,94.94480771
"kankakee il",40.3,47.76108545
"kansas city ks",39.5,48.93576457
"kansas city mo",55.3,57.63195144
"kearney ne",87.1,93.05165688
"keene nh",92.5,97.13247352
"kenai ak",76.7,80.69720542
"kendallville in",92.1,95.21630616
"kennett mo",80.8,83.19715808
"kennewick wa",66.8,78.10871592
"kenosha wi",68.3,79.34080043
"kent wa",47.1,67.85875962
"kenton oh",94.6,96.61708253
"keokuk ia",88,92.26393629
"kerrville tx",65,72.7246022
"ketchikan ak",56,65.60212068
"kewanee il",78.3,88.41934487
"key west fl",65.3,71.41455373
"keyser wv",83.9,90.02451443
"kilgore tx",65.3,74.8252367
"killeen tx",32.7,39.77632291
"kingman az",78.2,85.30071254
"kingsport tn",90,92.66896782
"kingston ny",61.2,77.06343793
"kinston nc",27.7,34.99662276
"kirksville mo",88.8,93.51895456
"klamath falls or",75.8,81.1992601
"knoxville tn",73.1,78.97866467
"kodiak ak",34.6,43.7164509
"kokomo in",82.7,83.82668662
"la grande or",89,91.76604202
"la junta co",44.8,52.60306554
"laconia nh",95.3,96.13673755
"lady lake fl",84.9,93.98038553
"lafayette in",75.6,84.92650318
"lafayette la",60.5,67.13405952
"lake charles la",43.8,49.52826902
"lake city fl",50.8,57.28456914
"lake geneva wi",79,82.65249021
"lake havasu city az",81.4,89.53693548
"lakeland fl",61.6,69.53933615
"lamar co",59.3,61.13428797
"lancaster oh",93.9,96.84448847
"lancaster pa",41.3,51.81372897
"lander wy",83.7,88.87432649
"lanett al",31.9,44.96644295
"lansdale pa",70.1,83.58534005
"lansing mi",55.6,61.36676516
"laporte in",84,NULL
"laramie wy",82.4,86.77032789
"laredo tx",3.7,5.035225625
"las cruces nm",36,42.02135538
"las vegas nm",17.9,13.47064882
"las vegas nv",45.9,58.04436976
"lasalle il",86,88.99550837
"latrobe pa",96.8,98.48788081
"laurel ms",30.1,40.30337628
"laurinburg nc",41,50.10079375
"lawrence ks",77.4,82.11690679
"lawrence ma",17,34.1032439
"lawton ok",52.4,57.79078668
"le mars ia",91.6,95.81032803
"leavenworth ks",69.5,74.05420666
"lebanon in",93.5,96.77260582
"lebanon mo",92.5,94.89921843
"lebanon pa",54,78.88884347
"lebanon tn",77.5,81.80380529
"leesburg fl",56.9,64.33316621
"leesville la",50.5,53.60580483
"lehighton pa",93.8,97.83276142
"lenoir nc",75.7,79.22944084
"levittown pa",88.3,93.14012526
"lewisburg pa",85.4,90.35587189
"lewiston id",92.3,94.06225731
"lewiston me",87.1,94.9733819
"lewistown pa",91.3,NULL
"lexington ky",72.4,79.14184375
"lexington ma",70.5,85.06671059
"lexington nc",50.9,54.80880068
"liberal ks",32.2,47.5592393
"lihue hi",24.8,21.46633768
"lima oh",64.3,68.38152741
"lincoln il",82.7,94.1245364
"lincoln ne",81.7,87.81191678
"linton in",97.2,97.50606166
"litchfield il",97.3,97.71093177
"livingston mt",93.7,95.08101007
"lock haven pa",91.7,95.5732867
"lockport ny",85.2,89.8514296
"lodi ca",52.2,63.50988614
"logan oh",96.1,97.50894988
"logan ut",76.2,85.44176236
"logansport in",67.9,83.52977037
"lompoc ca",33.3,47.91864341
"london oh",86.6,89.62490024
"long beach ca",28.1,33.12929828
"longmont co",67.2,76.7994036
"longview tx",55.3,65.48320244
"longview wa",81.9,87.21581073
"lorain oh",54.5,61.0834353
"los alamos nm",72.6,80.77084558
"los angeles ca",28.4,29.74943299
"louisville ky",67.6,61.9171763
"loveland co",84.9,88.62828011
"lovington nm",24.6,43.29004329
"lowell ma",49.5,62.52912035
"lubbock tx",53.7,61.29863102
"ludington mi",90.4,92.50927366
"lufkin tx",43.8,53.70693081
"lumberton nc",38.5,46.84779995
"lynchburg va",62.9,66.0466684
"lynn ma",41.2,62.47052218
"macomb il",83.5,87.51481841
"macon mo",89.5,92.1271217
"madera ca",14.5,25.13250168
"madison in",90.2,93.95201599
"madison sd",91.5,96.72782875
"madison wi",74.6,81.9542042
"madisonville ky",80,85.53374424
"magnolia ar",52,57.69939215
"malden ma",47,69.63081292
"malone ny",93.2,97.05349794
"malvern ar",62.2,67.64216827
"manassas va",44.6,66.32702433
"manchester nh",80,89.32302862
"manhattan ks",78.3,85.38288238
"manistee mi",90,93.88095961
"manitowoc wi",86.9,91.77752327
"mankato mn",86.5,91.49782589
"mansfield oh",72,76.08924736
"manteca ca",43.4,64.06269032
"marianna fl",52.7,55.68218299
"marietta ga",46.2,48.58718595
"marietta oh",93.6,95.74922494
"marinette wi",92.8,96.808239
"marion il",86.2,92.04864359
"marion in",75.5,77.84482759
"marion nc",73.9,80.35605907
"marion oh",84.1,89.63701229
"marquette mi",88.8,94.49671939
"marshall mi",87.9,94.1949323
"marshall mn",80.9,88.65331763
"marshall mo",74.7,82.91643208
"marshall tx",40.9,51.40589095
"marshalltown ia",64.2,83.64027837
"marshfield wi",92,96.58510638
"martins ferry oh",88.4,92.72073069
"martinsburg wv",73.5,82.42719744
"martinsville in",95.6,97.96546418
"martinsville va",47.4,54.07368967
"marysville ca",60.2,65.77274209
"marysville oh",89,90.69752854
"maryville mo",91,95.18003969
"maryville tn",90.7,92.83304498
"mason city ia",90.7,93.36692719
"massillon oh",87.2,87.54030327
"mattoon il",94.5,95.82854956
"mayfield ky",67.8,78.43269881
"maysville ky",83.4,85.62215056
"mcalester ok",66,73.59838048
"mcallen tx",11.7,16.84364839
"mccomb ms",27,39.91152433
"mccook ne",91.5,96.10958219
"mckeesport pa",59.6,71.70549085
"mckinney tx",62.6,71.46351781
"mclean va",72.6,81.34552647
"mcpherson ks",90.5,93.68191721
"meadville pa",88.2,91.3116551
"medford or",79.2,85.97871869
"medina ny",83.8,86.09508963
"medina oh",90.6,93.90588329
"melbourne fl",74.4,80.69261158
"melville ny",82.1,87.46301521
"memphis tn",27.3,33.2524227
"menominee mi",95,96.67068229
"merced ca",30.1,37.75217942
"meriden ct",61.4,69.89389465
"meridian ms",33.8,43.49229384
"merrifield va",42.3,47.80662489
"mesa az",64,73.20845159
"mexia tx",37.5,49.74859058
"mexico mo",85.4,88.26855124
"miami fl",11.4,11.83463459
"miami ok",66.3,74.28488033
"michigan city in",61.2,67.80851064
"middletown ct",70,77.45500035
"middletown ny",34.9,56.81030408
"middletown oh",78,86.53812615
"midland mi",88.2,92.15785055
"midland tx",47.9,60.63728999
"miles city mt",92.8,95.734653
"milford ct",85.4,91.21832628
"milford ma",80,89.98761865
"milledgeville ga",48.6,49.13898811
"milton pa",91.4,93.92481203
"milwaukee wi",36.3,45.39376924
"minden la",42.2,46.16565595
"mineral wells tx",64.3,69.83949015
"minneapolis mn",60.3,62.48529865
"minot nd",86.2,92.42759865
"missoula mt",88.9,92.62089636
"mitchell sd",91.2,95.33589779
"moberly mo",84.5,89.53537045
"mobile al",43.8,49.75240681
"modesto ca",47.6,59.55119244
"moline il",74.4,82.32041674
"monessen pa",82.1,83.0891683
"monett mo",74.6,86.38453218
